,species_group,,Grouping of species in the biomass allocation dataset,defined,biomass_allocation
,individual,,"Number of the individual,unique within the site and plot",defined,biomass_allocation
,plot,,"Number of the plot, not permanent experimental plot",defined,biomass_allocation
,sub_plot,,"Subplot witin the plot, not permanent experimental plot",defined,biomass_allocation
,comments_field,,comments registered during the field work,defined,biomass_allocation
,comments_lab,,commentes registered during the lab work,defined,biomass_allocation
,trait,,"trait measured on the individual, either counts og leaves/flowers etc. size measurements, or biomass measurements",defined,biomass_allocation
,value,,registered value of the corresponding trait,measured,flowering
,subplot,,"Subplot within the plot, permanent experimental plot",defined,flowering
,date_community,yyyy-mm-dd,Date when number of flowers were counted/measured for the flowering community (apart from Sibbaldia procumbens and Veronica alpina),recorded,flowering
,date_Sib_pro,yyyy-mm-dd,Date when number of flowers were counted for Sibbaldia procumbens,recorded,flowering
,date_Ver_alp,yyyy-mm-dd,Date when number of flowers were counted for Veronica alpina,recorded,flowering
,flowering_measurement_type,,"The means by which flower production was measured for the flowering community. Either number of flowers, number of flower heads, number of flowering individuals, length of inflorescence, number of inflorescence units or percent cover of inflorescence.",defined,flowering
,flowering_value,"counts, mm or %",Number of flowers. Either counted directly or approximated.,measured,"seedling_survival_alpine, seedling_traits"
,experiment,,"Whether the seedlings were in the main INCLINE experiment (background 'B'), or in the experimental plots ('E')",defined,"seedling_survival_alpine, seedling_traits, seedling_survival_subalpine"
,vegetation,,Whether the seedlings were in the vegetated (Veg) or vegetation removed (NoVeg) plots,defined,seedling_survival_alpine
,campaign_number,,"For seedling_survival experiment campaigns (zero, first, second...seventh)",defined,"seedling_survival_alpine, seedling_survival_subalpine"
,present,,If a seedling was marked as alive (yes) or not (no) during a campaign visit,recorded,seedling_survival_subalpine
,strategy,,If a seedling was defined as resource acquisitive (Acq) or conservative (Con),defined,seedling_survival_subalpine
,total_seeds_sown,,"Per species, per plot",measured,seedling_survival_subalpine
,germinated,,If an individual seedling emerged or not during the course of the experiment,recorded,seedling_survival_subalpine
,total_seedlings_emerged,,Total seedlings emerged from each species in each plot during the course of the experiment,recorded,seedling_survival_subalpine
,total_seedlings_survived,,Total seedlings survived as of the last recorded visit of the total seedlings emerged,recorded,seedling_survival_subalpine
,plot_seedling_ID,,"Concatenation of blockID, OTC, Veg",defined,
,harvest_date,yyyy-mm-dd,Date seedlings were harvested from germination experiment,recorded,
,fresh_weighing_date,yyyy-mm-dd,Date seedlings were from germinaton experiment were weighed for fresh mass,recorded,
,leaf_scanned_Y_N,,"Was a leaf scanned for a given seedling (yes, no)",recorded,
,balance_used,,Identifies which balance was used,recorded,
,speciesID_check,,"For seedling traits, comments regarding if the species was correctly identifed",defined,
,flagged_errors,,Issues noted by registrator that may mean data values should be removed for future use,defined,
,values,,Trait values,measured,
,date_removal,,Date when the removal was done in the field,recorded,
,recorder_removal,,Initials or full name of the person who did the removals,recorded,
,date_sorting,,Date when the sorting of biomass was done in the lab,recorded,
,recorder_sorting,,Initials or full name of the person who did the sorting of functional groups in the lab,recorded,
,date_weighing,,Date when the biomass was weighed,recorded,
,recorder_weighing,,Initials or full name of the person who weighed the biomass,recorded,
,seedling,,Indicates wether an individual was a seedling or not,recorded,
,juvenile,,Indicates wether an individual was a juvenile or not,recorded,
,OTC_removed,,TRUE when OTC was removed to measure NDVI (only applies to warming plots),recorded,
